"","x"
"text.6.meta.datetimestamp.gmtoff","0"
"text.6.meta.id","6"
"text.6.meta.language","en"
"text.7.content","purpose review a variety neurological complications reported following widespread use covid vaccines may lead vaccine hesitancy serve major barrier public health aim achieving protective herd immunity vaccination in article review available evidence regarding neurological adverse events reported provide clarity regarding unfounded fears maybe put rest recent findings there greater expected occurrence severe neurological adverse events cortical sinus venous thrombosis bell’s palsy transverse myelitis guillain–barré syndromes along common effects headaches following different kinds covid vaccination precipitation new onset demyelinating brain lesions without detection specific antibodies worsening preexisting neurological disorders like epilepsy multiple sclerosis also matter great concern though conclusive evidence implicating vaccines available now summary the covid pandemic far till time truly effective antiviral drug discovered appropriate therapeutic strategy developed covidappropriate behavior highly effective mass vaccination remain weapons armamentarium fight deadly disease as often occurs therapeutic means treatment prevention disease vaccination covid hazards these range trivial ones like fever local pain myalgias several potentially serious cardiac neurological complications the latter group includes conditions like cerebral venous thrombosis curiously often thrombocytopenia transverse myelitis acute inflammatory demyelinating polyneuropathy amongst others fortunately number reported patients serious complications far low total number people vaccinated hence current evidence suggests benefits vaccination far outweigh risk events majority patients as now available evidence also recommend withholding vaccination patients preexisting neurological disorders like epilepsy ms though adenoviral vaccines avoided history thrombotic events ©  the authors exclusive licence springer sciencebusiness media llc part springer nature"
"text.7.meta.datetimestamp.sec","16.6036601066589"
"text.7.meta.datetimestamp.min","36"
"text.7.meta.datetimestamp.hour","5"
"text.7.meta.datetimestamp.mday","7"
"text.7.meta.datetimestamp.mon","1"
"text.7.meta.datetimestamp.year","124"
"text.7.meta.datetimestamp.wday","3"
"text.7.meta.datetimestamp.yday","37"
"text.7.meta.datetimestamp.isdst","0"
"text.7.meta.datetimestamp.zone","GMT"
"text.7.meta.datetimestamp.gmtoff","0"
"text.7.meta.id","7"
"text.7.meta.language","en"
"text.8.content","the decision receive covid vaccine influenced variety individual contextual factors however studies analyse individual vaccination decisions using qualitative methodology to close gap conducted qualitative interview study examine opinions experiences vaccine among patients previously hospitalized due covid including barriers facilitators vaccine uptake an exploratory qualitative study using semistructured telephone interviews conducted among  patients admitted covid poland  opinions patients previously hospitalized covid vaccination varied barriers covid vaccine uptake stemmed concerns vaccine safety patients’ religious beliefs negative stories high disease severity anxiety personal family health important arguments favour receiving covid vaccine the study findings indicated need ongoing health education healthcare staff well coordination integration multisectoral institutional measures regarding covid prevention strategies well increased public health initiatives social media engagement community leaders awareness vaccines vaccination it crucial build trust covid vaccinations among general public disseminating reliable information trustworthy credible sources however emphasised regardless measures taken individuals will remain unconvinced receiving covid vaccine ©  authors"
"text.8.meta.datetimestamp.sec","16.6036899089813"
"text.8.meta.datetimestamp.min","36"
"text.8.meta.datetimestamp.hour","5"
"text.8.meta.datetimestamp.mday","7"
"text.8.meta.datetimestamp.mon","1"
"text.8.meta.datetimestamp.year","124"
"text.8.meta.datetimestamp.wday","3"
"text.8.meta.datetimestamp.yday","37"
"text.8.meta.datetimestamp.isdst","0"
"text.8.meta.datetimestamp.zone","GMT"
"text.8.meta.datetimestamp.gmtoff","0"
"text.8.meta.id","8"
"text.8.meta.language","en"
"text.9.content","purpose review the covid pandemic since  affected health care services access globally although entire impact covid pandemic existing global public health yet fully seen impact covid pandemic global childhood immunization programs particular importance recent findings disruptions service delivery due lockdowns challenges vaccination programs vaccine misinformation hesitancy political social economic inequalities posed threat existing childhood immunization programs these potential threats especially critical lmic childhood immunization programs tend experience suboptimal implementation summary this review provides overview childhood immunizations discusses past pandemics particularly lmic factors contributing disparities childhood immunizations reviews potential lessons learned past pandemics vaccine hesitancy social determinants health best practices help lessen pandemic’s influence also elaborated to address current challenges hindered progress made prevention childhood illnesses vaccination campaigns increased vaccine availability lessons learned best practices explored past pandemics must examined mitigate impact covid childhood immunization turn conserve health improve economic wellbeing children especially lmic ©  the authors exclusive licence springer nature switzerland ag"
"text.9.meta.datetimestamp.sec","16.6037209033966"
"text.9.meta.datetimestamp.min","36"
"text.9.meta.datetimestamp.hour","5"
"text.9.meta.datetimestamp.mday","7"
"text.9.meta.datetimestamp.mon","1"
"text.9.meta.datetimestamp.year","124"
"text.9.meta.datetimestamp.wday","3"
"text.9.meta.datetimestamp.yday","37"
"text.9.meta.datetimestamp.isdst","0"
"text.9.meta.datetimestamp.zone","GMT"
"text.9.meta.datetimestamp.gmtoff","0"
"text.9.meta.id","9"
"text.9.meta.language","en"
"text.10.content","background mass immunization potentially effective approach finally control local outbreak global spread covid pandemic however can also lead undesirable outcomes mass vaccination results increased transmission effective contacts relaxation public health interventions due perceived immunity vaccine methods we designed mathematical model covid transmission dynamics takes consideration epidemiological status public health intervention status quarantinedisolated immunity status population strain variations comparing control reproduction numbers final epidemic sizes attack rate cases without vaccination quantified key factors determining vaccination population beneficial preventing controlling future outbreaks results our analyses predicted critical minimal vaccine efficacy rate critical quarantine rate control reproduction number vaccination higher without vaccination final attack rate population also higher vaccination we also predicted worst case scenario occurs high vaccine coverage rate achieved vaccine lower efficacy rate vaccines increase transmission efficient contacts conclusions the analyses show immunization program vaccine efficacy rate predicted critical values will effective simply investing contact tracingquarantineisolation implementation we reached similar conclusions considering final epidemic size attack rates this research highlights importance monitoring impact transmissibility vaccine efficacy emerging strains ©  the authors"
"text.10.meta.datetimestamp.sec","16.6037509441376"
"text.10.meta.datetimestamp.min","36"
"text.10.meta.datetimestamp.hour","5"
"text.10.meta.datetimestamp.mday","7"
"text.10.meta.datetimestamp.mon","1"
"text.10.meta.datetimestamp.year","124"
"text.10.meta.datetimestamp.wday","3"
"text.10.meta.datetimestamp.yday","37"
"text.10.meta.datetimestamp.isdst","0"
"text.10.meta.datetimestamp.zone","GMT"
"text.10.meta.datetimestamp.gmtoff","0"
"text.10.meta.id","10"
"text.10.meta.language","en"
"text.11.content","clinical testing cornerstone public health monitoring infection control efforts communities throughout covid pandemic with anticipated reduction clinical testing disease moves endemic state sarscov wastewater surveillance wws will greater value important diagnostic tool an indepth analysis understanding metrics derived wws required interpret utilize wwsacquired data effectively mcclarygutierrez et al  okeeffe  in study sarscov wastewater signal clinical cases wc ratio investigated across seven cities canada periods ranging   months this work demonstrates significant increases wc ratio occurred clinical testing eligibility modified appointmentonly testing identifying period insufficient clinical testing resulting reduction testing access reduction number daily tests communities despite increases wastewater signal furthermore wc ratio decreased significantly   studied locations serving potential signal emergence alpha variant concern voc relatively nonimmunized community – allelic proportion muted decrease wc ratio signaled emergence delta voc relatively wellimmunized community – allelic proportion finally significant decrease wc ratio signaled emergence omicron voc likely variants greater effectiveness evading immunity leading significant number new reported clinical cases even community immunity high the wc ratio used additional monitoring metric complement clinical case counts wastewater signals individual metrics potential ability identify important epidemiological occurrences adding value wws diagnostic technology covid pandemic likely future pandemics ©  the authors"
"text.11.meta.datetimestamp.sec","16.6037800312042"
"text.11.meta.datetimestamp.min","36"
"text.11.meta.datetimestamp.hour","5"
"text.11.meta.datetimestamp.mday","7"
"text.11.meta.datetimestamp.mon","1"
"text.11.meta.datetimestamp.year","124"
"text.11.meta.datetimestamp.wday","3"
"text.11.meta.datetimestamp.yday","37"
"text.11.meta.datetimestamp.isdst","0"
"text.11.meta.datetimestamp.zone","GMT"
"text.11.meta.datetimestamp.gmtoff","0"
"text.11.meta.id","11"
"text.11.meta.language","en"
"text.12.content","hispanic children us high rates covidrelated hospitalizations deaths following fda emergency approval covid vaccination rates young children five years alarmingly low especially border states significant hispanic populations this study identified social cultural determinants covid vaccine hesitancy among economically marginalized hispanic parents children five in  following fda approval  hispanic female guardians us border states responded online survey assessing parental intent vaccinate child demographic characteristics covid health vaccine beliefs trust traditional sources health information physician community support acculturation anglo american norms the majority  intend vaccinate child unsure  kendall’s taub indicated vaccine acceptance negatively associated covid specific general vaccine distrust belief vaccine unnecessary time living us language acculturation range tb − − p – positively related trust traditional resources doctor’s recommendation child’s age household income parent education range tb   p – this research highlights importance covid vaccination public health strategies draw hispanic cultural values community partnerships enhanced pediatrician communication regarding routine covidspecific vaccinations ©  authors"
"text.12.meta.datetimestamp.sec","16.6038100719452"
"text.12.meta.datetimestamp.min","36"
"text.12.meta.datetimestamp.hour","5"
"text.12.meta.datetimestamp.mday","7"
"text.12.meta.datetimestamp.mon","1"
"text.12.meta.datetimestamp.year","124"
"text.12.meta.datetimestamp.wday","3"
"text.12.meta.datetimestamp.yday","37"
"text.12.meta.datetimestamp.isdst","0"
"text.12.meta.datetimestamp.zone","GMT"
"text.12.meta.datetimestamp.gmtoff","0"
"text.12.meta.id","12"
"text.12.meta.language","en"
"text.13.content","background in recent years resurgence pertussis posed public health challenge many countries this study aimed evaluate immunity levels pertussis among populations different ages china methods we conducted crosssectional serological survey zhejiang province china  serum igg antibodies pertussis toxin antipt filamentous hemagglutinin antifha pertactin antiprn quantitatively measured the geometric mean concentration gmc three antibodies calculated an antipt level  iuml considered undetectable ≥ iuml seropositive ≥ iuml indicator recent infection mathematical models fitted antipt concentrations time children four doses pertussis vaccination results a total  participants aged – years included analyses the overall positivity rate antipt  highest  rate – years old lowest  – years old the gmcs antipt antifha antiprn whole participants  ci – –  – iuml respectively over  subjects aged ≥  years undetectable antipt igg antibodies iuml the proportions populations antipt igg ≥  iuml approximately    among – – – years old groups respectively the power regression equation attenuation model last dose pertussis vaccine y x r  p  the fitted antipt concentrations  iuml  years following last vaccination dose conclusion the prevalence pertussis decreased study period covid pandemic however still certain proportion adolescents adults evidence recent infection the decline antibody levels pertussis vaccination observed booster doses urgent need china ©  elsevier ltd"
"text.13.meta.datetimestamp.sec","16.6038401126862"
"text.13.meta.datetimestamp.min","36"
"text.13.meta.datetimestamp.hour","5"
"text.13.meta.datetimestamp.mday","7"
"text.13.meta.datetimestamp.mon","1"
"text.13.meta.datetimestamp.year","124"
"text.13.meta.datetimestamp.wday","3"
"text.13.meta.datetimestamp.yday","37"
"text.13.meta.datetimestamp.isdst","0"
"text.13.meta.datetimestamp.zone","GMT"
"text.13.meta.datetimestamp.gmtoff","0"
"text.13.meta.id","13"
"text.13.meta.language","en"
"text.14.content","no abstract available"
"text.14.meta.datetimestamp.sec","16.6038680076599"
"text.14.meta.datetimestamp.min","36"
"text.14.meta.datetimestamp.hour","5"
"text.14.meta.datetimestamp.mday","7"
"text.14.meta.datetimestamp.mon","1"
"text.14.meta.datetimestamp.year","124"
"text.14.meta.datetimestamp.wday","3"
"text.14.meta.datetimestamp.yday","37"
"text.14.meta.datetimestamp.isdst","0"
"text.14.meta.datetimestamp.zone","GMT"
"text.14.meta.datetimestamp.gmtoff","0"
"text.14.meta.id","14"
"text.14.meta.language","en"
"text.15.content","efforts prevent covid transmission will continue national vaccination program enacted expected effective way combat covid pandemic however vaccination policies remain lax places madura region making efforts create herd immunity slow challenging this study used qualitative descriptive method collect data using interviews covid task force website reliable online sources data information triangulated improve researchers comprehension then proceed data reduction display verification get detailed results conclusions according studys findings immunization policys efficiency madura region still low early september  several factors contribute including low citizen participation lack socialization intensity direct involvement religious community leaders public perception covid numerous postvaccination symptoms addressed immediately government health workers as result developing herd immunity madura challenging achieved vaccination herd immunity madura developed vaccination successes  positive covid cases based government informant data ©  association res militaris all rights reserved"
"text.15.meta.datetimestamp.sec","16.6038970947266"
"text.15.meta.datetimestamp.min","36"
"text.15.meta.datetimestamp.hour","5"
"text.15.meta.datetimestamp.mday","7"
"text.15.meta.datetimestamp.mon","1"
"text.15.meta.datetimestamp.year","124"
"text.15.meta.datetimestamp.wday","3"
"text.15.meta.datetimestamp.yday","37"
"text.15.meta.datetimestamp.isdst","0"
"text.15.meta.datetimestamp.zone","GMT"
"text.15.meta.datetimestamp.gmtoff","0"
"text.15.meta.id","15"
"text.15.meta.language","en"
"text.16.content","the reemerging mpox formerly monkeypox virus mpxv member orthopoxvirus genus together variola virus varv vaccinia virus vacv led public health emergency international concern since july  inspired unprecedent success coronavirus disease  covid mrna vaccines development safe effective mrna vaccine mpxv high priority based established lipid nanoparticle lnpencapsulated mrna vaccine platform rationally constructed prepared panel multicomponent mpxv vaccine candidates encoding different combinations viral antigens including mr el al ar br in vitro vivo characterization demonstrated two immunizations mrna vaccine candidates elicit robust antibody response well antigenspecific thbiased cellular response mice importantly penta tetracomponent vaccine candidates armpxv armpxva showed superior capability inducing neutralizing antibodies well protecting vacv challenge mice our study provides critical insights understand protection mechanism mpxv infection direct evidence supporting clinical development multicomponent mrna vaccine candidates ©  the authors published informa uk limited trading taylor francis group behalf shanghai shangyixun cultural communication co ltd"
"text.16.meta.datetimestamp.sec","16.603926897049"
"text.16.meta.datetimestamp.min","36"
"text.16.meta.datetimestamp.hour","5"
"text.16.meta.datetimestamp.mday","7"
"text.16.meta.datetimestamp.mon","1"
"text.16.meta.datetimestamp.year","124"
"text.16.meta.datetimestamp.wday","3"
"text.16.meta.datetimestamp.yday","37"
"text.16.meta.datetimestamp.isdst","0"
"text.16.meta.datetimestamp.zone","GMT"
"text.16.meta.datetimestamp.gmtoff","0"
"text.16.meta.id","16"
"text.16.meta.language","en"
"text.17.content","the persistent covid pandemic since  brought enormous public health burden global society accompanied various evolution virus genome the consistently emerging sarscov variants harboring critical mutations impact molecular characteristics viral proteins display heterogeneous behaviors immune evasion transmissibility clinical manifestation infection differ strain endow distinguished features populational spread several sarscov variants identified variants concern voc world health organization challenged global efforts covid control due rapid worldwide spread enhanced immune evasion current antibodies vaccines moreover recent omicron variant even exacerbated global anxiety continuous pandemic its significant evasion current medical treatment disease control even highlights necessity combinatory investigation mutational pattern influence mutations viral dynamics populational immunity greatly facilitate drug vaccine development benefit global public health policymaking hence review summarized molecular characteristics immune evasion impacts sarscov variants focused parallel comparison different variants mutational profile transmissibility tropism alteration treatment effectiveness clinical manifestations order provide comprehensive landscape sarscov variant research ©  the authors"
"text.17.meta.datetimestamp.sec","16.6039550304413"
"text.17.meta.datetimestamp.min","36"
"text.17.meta.datetimestamp.hour","5"
"text.17.meta.datetimestamp.mday","7"
"text.17.meta.datetimestamp.mon","1"
"text.17.meta.datetimestamp.year","124"
"text.17.meta.datetimestamp.wday","3"
"text.17.meta.datetimestamp.yday","37"
"text.17.meta.datetimestamp.isdst","0"
"text.17.meta.datetimestamp.zone","GMT"
"text.17.meta.datetimestamp.gmtoff","0"
"text.17.meta.id","17"
"text.17.meta.language","en"
"text.18.content","background aim the omicron covid variants ba ba evade immune system leading increased transmissibility breakthrough infections we aim test hypothesis immunity achieved post covid infection combined vaccination hybrid immunity effective omicron infection vaccination alone healthcare setting methods data regular preemptive pcr testing healthcare workers hcws laiko university hospital th december  date national covid immunization program began greece th may  retrospectively collected recorded the infection rate calculated december st  omicron predominant circulating variant greece total number infections positive pcr covid test regardless symptoms divided total personmonths risk results of  vaccinated hcws included analysis median age  iqr   years  women   received   vaccine doses full booster vaccination respectively a covid infection occurred   participants prior omicron predominance of  hcws hybrid immunity   reinfected of   hcws full booster vaccinationinduced immunity respectively   infection rate  personmonths   infection rate  personmonths infected follow period no association gender age covid infection found none participants severe infection died conclusions hybrid immunity confers higher protection almost fold compared full booster vaccination covid infection omicron variant among hcws high risk exposure this may inform public health policies achieve optimal immunity terms timing mode vaccination © "
"text.18.meta.datetimestamp.sec","16.6039841175079"
"text.18.meta.datetimestamp.min","36"
"text.18.meta.datetimestamp.hour","5"
"text.18.meta.datetimestamp.mday","7"
"text.18.meta.datetimestamp.mon","1"
"text.18.meta.datetimestamp.year","124"
"text.18.meta.datetimestamp.wday","3"
"text.18.meta.datetimestamp.yday","37"
"text.18.meta.datetimestamp.isdst","0"
"text.18.meta.datetimestamp.zone","GMT"
"text.18.meta.datetimestamp.gmtoff","0"
"text.18.meta.id","18"
"text.18.meta.language","en"
"text.19.content","no abstract available"
"text.19.meta.datetimestamp.sec","16.6040120124817"
"text.19.meta.datetimestamp.min","36"
"text.19.meta.datetimestamp.hour","5"
"text.19.meta.datetimestamp.mday","7"
"text.19.meta.datetimestamp.mon","1"
"text.19.meta.datetimestamp.year","124"
"text.19.meta.datetimestamp.wday","3"
"text.19.meta.datetimestamp.yday","37"
"text.19.meta.datetimestamp.isdst","0"
"text.19.meta.datetimestamp.zone","GMT"
"text.19.meta.datetimestamp.gmtoff","0"
"text.19.meta.id","19"
"text.19.meta.language","en"
"text.20.content","little known malaysian parental attitudes beliefs intentions surrounding coronavirus disease  covid vaccines children national covid immunization program children pickids launched february  a crosssectional online surveybased study carried  march   july  malaysian parentsguardians children ages   years old a total  reported extremely willing  somewhat willing vaccinate children covid vaccine perceived low susceptibility covid infection showed greatest significant impact vaccine acceptance or   ci – parents lower level concern higher willingness vaccination or   ci – of parents knew mrna vaccine  reported prefer children vaccinated conventional vaccines mrna vaccines poor knowledge mrna vaccines lack confidence mrna technology fear unknown side effects perception mrna vaccines contain microchips significantly associated higher level concern children receiving mrna vaccine public education campaigns promote covid vaccination children warrant addressing concerns knowledge deficits among vaccinehesitant parents ©  authors"
"text.20.meta.datetimestamp.sec","16.6040410995483"
"text.20.meta.datetimestamp.min","36"
"text.20.meta.datetimestamp.hour","5"
"text.20.meta.datetimestamp.mday","7"
"text.20.meta.datetimestamp.mon","1"
"text.20.meta.datetimestamp.year","124"
"text.20.meta.datetimestamp.wday","3"
"text.20.meta.datetimestamp.yday","37"
"text.20.meta.datetimestamp.isdst","0"
"text.20.meta.datetimestamp.zone","GMT"
"text.20.meta.datetimestamp.gmtoff","0"
"text.20.meta.id","20"
"text.20.meta.language","en"
"text.21.content","background covid emerging infectious disease affected multiple countries sustained persontoperson transmission making concerning serious public health threat this pandemic emphasized good nutrition healthy life key strengthening immunity aim study to assess knowledge nutrition toward covid among palestinian population methods a crosssectional online survey launched west bank gaza strip a total number  participants shared completion survey response rate  results the mean level knowledge among participants  study indicated  behaving healthy nutritional habits the analysis revealed mean score knowledge increased  comparing oldest age groups  years youngest group as knowledge mean score increased  among obese individuals according bmi classification  whereas knowledge mean score increased significantly among work medical sectors compared others unemployed individuals as well knowledge score increased  among individuals comorbidity healthy ones conclusion nutritional knowledge score covid  knowledge body immunity system protective measures covid scored weighted mean  the level knowledge among participants reflect satisfactory level knowledge among public regard covid level behaving healthy nutritional habits illustrated nearly  participants practicing unhealthy nutritional behaviors ©  ibn sina trust all rights reserved"
"text.21.meta.datetimestamp.sec","16.6040871143341"
"text.21.meta.datetimestamp.min","36"
"text.21.meta.datetimestamp.hour","5"
"text.21.meta.datetimestamp.mday","7"
"text.21.meta.datetimestamp.mon","1"
"text.21.meta.datetimestamp.year","124"
"text.21.meta.datetimestamp.wday","3"
"text.21.meta.datetimestamp.yday","37"
"text.21.meta.datetimestamp.isdst","0"
"text.21.meta.datetimestamp.zone","GMT"
"text.21.meta.datetimestamp.gmtoff","0"
"text.21.meta.id","21"
"text.21.meta.language","en"
"text.22.content","no abstract available"
"text.22.meta.datetimestamp.sec","16.6041309833527"
"text.22.meta.datetimestamp.min","36"
"text.22.meta.datetimestamp.hour","5"
"text.22.meta.datetimestamp.mday","7"
"text.22.meta.datetimestamp.mon","1"
"text.22.meta.datetimestamp.year","124"
"text.22.meta.datetimestamp.wday","3"
"text.22.meta.datetimestamp.yday","37"
"text.22.meta.datetimestamp.isdst","0"
"text.22.meta.datetimestamp.zone","GMT"
"text.22.meta.datetimestamp.gmtoff","0"
"text.22.meta.id","22"
"text.22.meta.language","en"
"text.23.content","background vaccines essential public health strategy curb viral infection spreading hinge vaccine uptake may threatened vaccine hesitant individuals this study aims identify sociodemographic predictors vaccine hesitancy main reasons vaccine hesitancy reasons explained sociodemographic characteristics covid pandemic methods a crosssectional study n   carried june  a webbased survey conducted among six eastern districts oslo high infection pressure sociodemographic variables included gender age country birth education household income binary logistic regression models used explore predictors vaccine hesitancy specific reasons hesitancy results vaccine hesitancy low overall  findings indicate participants younger ages lower education lower household income born outside norway prone vaccine hesitancy over half vaccine hesitant sample cited barriers relating confidence vaccines women participants born norway likely hesitant due fear side effects little experience vaccines otherwise complacency barriers feeling belonged risk group  needing vaccines  wanting body develop natural immunity  frequently selected participants conclusion different determinants vaccine hesitancy among population groups demonstrate need clear public health communication risks benefits importance vaccines future studies larger sample verify current findings explore role convenience barriers health literacy language health authorities take results account develop different public health strategies targeted vulnerable population groups current future pandemics increase vaccine uptake reach sufficient immunization ©  the authors"
"text.23.meta.datetimestamp.sec","16.6041610240936"
"text.23.meta.datetimestamp.min","36"
"text.23.meta.datetimestamp.hour","5"
"text.23.meta.datetimestamp.mday","7"
"text.23.meta.datetimestamp.mon","1"
"text.23.meta.datetimestamp.year","124"
